animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A794011,Chunk,08-05-2019 18:20,2019-05-08T18:20:00.000,2017-05-02T00:00:00.000,Rto-Adopt,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,
A776359,Gizmo,18-07-2018 16:02,2018-07-18T16:02:00.000,2017-07-12T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Brown,
A821648,,16-08-2020 11:38,2020-08-16T11:38:00.000,2019-08-16T00:00:00.000,Euthanasia,Other,Unknown,1 year,Raccoon,Gray,
A720371,Moose,13-02-2016 17:59,2016-02-13T17:59:00.000,2015-10-08T00:00:00.000,Adoption,Dog,Neutered Male,4 months,Anatol Shepherd/Labrador Retriever,Buff,
A674754,,18-03-2014 11:47,2014-03-18T11:47:00.000,2014-03-12T00:00:00.000,Transfer,Cat,Intact Male,6 days,Domestic Shorthair Mix,Orange Tabby,Partner
A659412,Princess,05-10-2020 14:37,2020-10-05T14:37:00.000,2013-03-24T00:00:00.000,Adoption,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Brown,
A814515,Quentin,06-05-2020 07:59,2020-05-06T07:59:00.000,2018-03-01T00:00:00.000,Adoption,Dog,Neutered Male,2 years,American Foxhound/Labrador Retriever,White/Brown,Foster
A881795,,13-06-2023 07:13,2023-06-13T07:13:00.000,2021-05-26T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby,Snr
A689724,Donatello,18-10-2014 18:52,2014-10-18T18:52:00.000,2014-08-01T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,
A680969,Zeus,05-08-2014 16:59,2014-08-05T16:59:00.000,2014-06-03T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby,
A840370,Tulip,19-08-2021 19:36,2021-08-19T19:36:00.000,2019-08-06T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Border Collie/Cardigan Welsh Corgi,Black/White,
A684617,,27-07-2014 09:00,2014-07-27T09:00:00.000,2012-07-26T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black,SCRP
A742354,Artemis,22-01-2017 11:56,2017-01-22T11:56:00.000,2010-01-20T00:00:00.000,Return to Owner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue/White,
A818049,Fiona,01-06-2020 13:24,2020-06-01T13:24:00.000,2018-06-01T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Pit Bull,White/Blue,
A843327,Mary,08-10-2021 13:25,2021-10-08T13:25:00.000,2019-09-29T00:00:00.000,Transfer,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White,Out State
A681036,,11-06-2014 17:11,2014-06-11T17:11:00.000,2014-06-09T00:00:00.000,Transfer,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby,Partner
A803149,Birch,31-08-2019 16:26,2019-08-31T16:26:00.000,2019-08-08T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby,Partner
A882456,,13-06-2023 07:14,2023-06-13T07:14:00.000,2021-06-05T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Blue Tabby,Snr
A698049,Luigi,16-03-2015 14:50,2015-03-16T14:50:00.000,2014-06-05T00:00:00.000,Transfer,Cat,Spayed Female,9 months,Domestic Medium Hair Mix,Black/White,Partner
A773792,,05-06-2018 15:30,2018-06-05T15:30:00.000,2018-05-05T00:00:00.000,Euthanasia,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,Suffering
A882810,,13-06-2023 07:15,2023-06-13T07:15:00.000,2021-06-09T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,White/Brown Tabby,Snr
A882757,,13-06-2023 07:15,2023-06-13T07:15:00.000,2021-06-08T00:00:00.000,Transfer,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby,Snr
A833999,,08-05-2021 14:05,2021-05-08T14:05:00.000,2021-04-23T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair,Brown Tabby,Partner
A882809,,13-06-2023 07:14,2023-06-13T07:14:00.000,2021-06-09T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Black/White,Snr
A725795,,03-05-2016 12:39,2016-05-03T12:39:00.000,2016-04-15T00:00:00.000,Euthanasia,Other,Unknown,2 weeks,Opossum,Gray,Underage
A835990,Jack,04-06-2021 14:31,2021-06-04T14:31:00.000,2019-06-04T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Weimaraner/Labrador Retriever,Blue,
A730621,Liza,10-09-2016 18:59,2016-09-10T18:59:00.000,2016-05-18T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico,
A765349,Einstein,08-06-2018 13:04,2018-06-08T13:04:00.000,2009-01-18T00:00:00.000,Adoption,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor,Foster
A883057,,13-06-2023 10:40,2023-06-13T10:40:00.000,2022-06-12T00:00:00.000,Disposal,Other,Unknown,1 year,Bat,Brown,Rabies Risk
A760697,Star,26-10-2017 15:22,2017-10-26T15:22:00.000,2007-10-23T00:00:00.000,Transfer,Dog,Intact Male,10 years,Yorkshire Terrier Mix,Brown/Black,Partner
A767231,Millie,25-02-2018 17:19,2018-02-25T17:19:00.000,2017-02-25T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Jack Russell Terrier/Chihuahua Shorthair,White/Tan,
A758536,,23-09-2017 11:09,2017-09-23T11:09:00.000,2017-03-18T00:00:00.000,Transfer,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby,Snr
A754682,Big Girl,23-07-2017 11:58,2017-07-23T11:58:00.000,2009-07-22T00:00:00.000,Return to Owner,Dog,Spayed Female,8 years,Great Pyrenees Mix,White,
A801106,,16-08-2019 14:05,2019-08-16T14:05:00.000,2019-05-06T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby,
A766700,,15-02-2018 08:59,2018-02-15T08:59:00.000,2017-02-15T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Brown,Rabies Risk
A812473,Theodore Nubbins,05-03-2020 16:15,2020-03-05T16:15:00.000,2010-01-26T00:00:00.000,Adoption,Dog,Neutered Male,10 years,Chihuahua Shorthair,Brown,Foster
A740079,Terry,26-12-2016 13:45,2016-12-26T13:45:00.000,2013-12-10T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Black/White,
A757919,Tofu,05-10-2017 15:36,2017-10-05T15:36:00.000,2015-09-08T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Beagle Mix,Brown/White,
A789298,Mr Wrinkles,23-04-2019 11:59,2019-04-23T11:59:00.000,2019-02-15T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White,Foster
A773866,Nitro,23-08-2018 18:05,2018-08-23T18:05:00.000,2016-06-06T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Staffordshire,Black/White,
A765701,,25-01-2018 09:39,2018-01-25T09:39:00.000,2017-01-25T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Brown,Rabies Risk
A699884,,03-04-2015 16:16,2015-04-03T16:16:00.000,2013-04-03T00:00:00.000,Euthanasia,Cat,Unknown,2 years,Domestic Shorthair Mix,Gray,Suffering
A725530,King,09-06-2016 14:50,2016-06-09T14:50:00.000,2015-10-30T00:00:00.000,Adoption,Dog,Neutered Male,7 months,Pit Bull Mix,Brown Brindle/White,
A722378,Canine,31-03-2016 19:08,2016-03-31T19:08:00.000,2010-03-15T00:00:00.000,Return to Owner,Dog,Neutered Male,6 years,German Shepherd Mix,Brown/Black,
A753650,Mama Girl,13-06-2023 11:24,2023-06-13T11:24:00.000,2016-01-09T00:00:00.000,Return to Owner,Dog,Spayed Female,7 years,Staffordshire Mix,Brown,
A707743,,18-07-2015 09:00,2015-07-18T09:00:00.000,2015-04-17T00:00:00.000,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White,SCRP
A681449,Buster,02-07-2014 19:01,2014-07-02T19:01:00.000,2010-06-16T00:00:00.000,Return to Owner,Dog,Neutered Male,4 years,Dogo Argentino Mix,White/Brown,
A738919,Milo,27-11-2016 17:35,2016-11-27T17:35:00.000,2016-09-23T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown/Black,
A730464,,05-07-2016 12:47,2016-07-05T12:47:00.000,2015-07-05T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat,Black/Brown,Rabies Risk
A860032,Grace,13-06-2023 12:39,2023-06-13T12:39:00.000,2020-06-22T00:00:00.000,Transfer,Dog,Spayed Female,2 years,Pit Bull Mix,Tan,Partner
A805930,Rachel,08-11-2019 18:37,2019-11-08T18:37:00.000,2019-09-11T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Border Collie Mix,Chocolate/White,Foster
A672423,Valentine,14-02-2014 11:44,2014-02-14T11:44:00.000,2002-02-10T00:00:00.000,Transfer,Dog,Spayed Female,12 years,Collie Rough Mix,Red,Partner
A665383,Indica,30-10-2013 16:23,2013-10-30T16:23:00.000,2013-06-19T00:00:00.000,Adoption,Dog,Spayed Female,4 months,German Shepherd Mix,Black/Tan,
A806497,Moo,17-12-2019 17:59,2019-12-17T17:59:00.000,2019-06-02T00:00:00.000,Adoption,Other,Spayed Female,6 months,Polish,White/White,
A754899,Puppy,29-07-2017 17:57,2017-07-29T17:57:00.000,2012-07-26T00:00:00.000,Adoption,Dog,Spayed Female,5 years,German Shepherd Mix,Brown/Black,
A746498,Zeus,03-05-2017 19:25,2017-05-03T19:25:00.000,2016-04-04T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Rat Terrier/Cardigan Welsh Corgi,Black/White,
A813785,Snout,26-02-2020 19:45,2020-02-26T19:45:00.000,2019-02-18T00:00:00.000,Rto-Adopt,Dog,Neutered Male,1 year,Doberman Pinsch,Black/Brown,
A810161,Lizzie,19-12-2019 15:54,2019-12-19T15:54:00.000,2019-10-15T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog,Blue Tick/Black,
A791163,,24-03-2019 08:22,2019-03-24T08:22:00.000,2019-02-22T00:00:00.000,Died,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White,In Kennel
A777234,Tyson,02-01-2019 00:00,2019-01-02T00:00:00.000,2017-11-25T00:00:00.000,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,Partner
A684009,Big Boy,19-07-2014 18:32,2014-07-19T18:32:00.000,2012-07-18T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Brown Brindle/White,
A873218,Lava Cake,13-06-2023 12:15,2023-06-13T12:15:00.000,2021-01-22T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White,Foster
A839936,A839936,02-08-2021 17:57,2021-08-02T17:57:00.000,2021-05-29T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever,Black/White,
A757815,,07-09-2017 11:00,2017-09-07T11:00:00.000,2015-09-07T00:00:00.000,Euthanasia,Other,Unknown,2 years,Raccoon,Gray/Black,Rabies Risk
A792258,Vesper,10-04-2019 20:53,2019-04-10T20:53:00.000,2016-09-08T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,
A802723,Linguine,20-09-2019 18:27,2019-09-20T18:27:00.000,2019-07-09T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Miniature Poodle Mix,Tan,Foster
A705205,Dell,20-06-2015 16:25,2015-06-20T16:25:00.000,2015-03-30T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby,Offsite
A689228,Louie,05-12-2014 15:55,2014-12-05T15:55:00.000,2014-06-01T00:00:00.000,Adoption,Dog,Neutered Male,6 months,Dachshund/Chihuahua Shorthair,Sable/Tan,
A888952,888952,16-09-2023 08:22,2023-09-16T08:22:00.000,2022-09-15T00:00:00.000,Euthanasia,Other,Unknown,1 year,Raccoon,Brown/Black,Suffering
A860161,Lalo,19-07-2022 15:53,2022-07-19T15:53:00.000,2022-05-04T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,
A688837,Sterling,13-10-2014 18:14,2014-10-13T18:14:00.000,2013-09-24T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,
A634392,Junior,24-03-2018 15:56,2018-03-24T15:56:00.000,2009-08-11T00:00:00.000,Return to Owner,Dog,Neutered Male,8 years,Standard Schnauzer/Miniature Poodle,White,
A736717,Max,21-10-2016 14:45,2016-10-21T14:45:00.000,2013-10-16T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Pug Mix,Brown Brindle,
A766886,Lola,26-02-2018 17:53,2018-02-26T17:53:00.000,2017-02-18T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/Brown,
A817863,Beef,04-06-2020 14:45,2020-06-04T14:45:00.000,2018-05-27T00:00:00.000,Adoption,Dog,Neutered Male,2 years,American Bulldog,Brown Brindle/White,
A767796,Koko,20-06-2019 14:18,2019-06-20T14:18:00.000,2017-12-06T00:00:00.000,Transfer,Dog,Spayed Female,1 year,American Pit Bull Terrier Mix,Brown/White,Partner
A777606,Bobo,07-08-2018 17:25,2018-08-07T17:25:00.000,2011-07-31T00:00:00.000,Adoption,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tricolor,
A805948,Blue,04-10-2019 11:25,2019-10-04T11:25:00.000,2017-10-04T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Siberian Husky,Black/Gray,
A702919,,21-05-2015 13:32,2015-05-21T13:32:00.000,2015-04-04T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,Partner
A696409,Hans,09-02-2015 18:46,2015-02-09T18:46:00.000,2014-11-19T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,
A688758,,23-09-2014 13:21,2014-09-23T13:21:00.000,2014-09-13T00:00:00.000,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White,Partner
